tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num,src_row_idx
1933,1742830357.999729,531,6,len4,6109,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4002,0.016505956649780273,5474,1.0,4001
3754,1742830329.504062,547,6,len4,3441,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2035,0.00021505355834960935,5474,0.0,2034
4602,1742830354.954905,183,6,len4,5691,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3727,8.511543273925781e-05,5474,0.0,3726
1870,1742830356.626457,164,6,len4,5926,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3878,0.0322718620300293,5474,1.0,3877
2735,1742830305.067952,8111,6,len4,"221,222,223,224,225,226",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,129,0.007905960083007812,5474,0.0,128
659,1742830317.871531,151,6,len4,1918,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1327,0.008599042892456055,5474,1.0,1326
472,1742830314.712024,618,6,len4,1415,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,951,0.01687002182006836,5474,1.0,950
1264,1742830341.885565,170,6,len4,4234,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2657,0.002020120620727539,5474,1.0,2656
2890,1742830307.0736449,183,6,len4,611,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,438,7.414817810058594e-05,5474,0.0,437
1190,1742830341.120757,21,6,len4,4023,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2509,7.510185241699219e-05,5474,1.0,2508
1671,1742830354.23466,1150,6,len4,5399,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3474,0.006541013717651367,5474,1.0,3473
240,1742830307.164357,151,6,len4,652,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,479,0.006073951721191406,5474,1.0,478
4812,1742830359.6872551,389,6,len4,6318,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4145,0.00024890899658203125,5474,0.0,4144
4395,1742830353.804643,183,6,len4,5171,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3321,9.298324584960938e-05,5474,0.0,3320
927,1742830327.882205,151,6,len4,2689,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1864,0.01973295211791992,5474,1.0,1863
4147,1742830346.375082,135,6,len4,4449,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2822,0.00016808509826660156,5474,0.0,2821
1550,1742830353.3946948,518,6,len4,5061,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3226,0.0003190040588378906,5474,1.0,3225
4567,1742830354.738226,183,6,len4,5616,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3657,3.3855438232421875e-05,5474,0.0,3656
2140,1742830360.429312,168,6,len4,6711,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4413,0.007513999938964844,5474,1.0,4412
4648,1742830356.245024,183,6,len4,5839,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3815,9.608268737792967e-05,5474,0.0,3814
3853,1742830340.760556,1192,6,len4,3740,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2234,0.0011610984802246096,5474,0.0,2233
1681,1742830354.303297,1218,6,len4,5430,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3495,0.010985136032104492,5474,1.0,3494
3885,1742830340.9235651,219,6,len4,3807,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2298,2.694129943847656e-05,5474,0.0,2297
3050,1742830308.7366712,475,6,len4,1101,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,750,0.00016188621520996094,5474,0.0,749
435,1742830314.368488,182,6,len4,1280,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,877,0.007806062698364258,5474,1.0,876
756,1742830324.721066,151,6,len4,2174,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1521,0.01654195785522461,5474,1.0,1520
2892,1742830307.07754,332,6,len4,615,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,442,0.00022292137145996094,5474,0.0,441
2223,1742830361.667623,607,6,len4,6993,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4578,0.018113136291503903,5474,1.0,4577
2950,1742830307.544635,1826,6,len4,"739,740",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,558,0.00027513504028320307,5474,0.0,557
603,1742830316.351531,151,6,len4,1775,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1215,0.009202957153320312,5474,1.0,1214
113,1742830305.43692,170,6,len4,337,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,225,0.01249384880065918,5474,1.0,224
535,1742830315.287107,596,6,len4,1579,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1077,0.0020339488983154297,5474,1.0,1076
2923,1742830307.242938,183,6,len4,679,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,504,8.106231689453125e-05,5474,0.0,503
2880,1742830306.4546368,183,6,len4,580,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,418,5.006790161132813e-05,5474,0.0,417
3789,1742830331.028265,850,6,len4,3555,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2104,0.0001928806304931641,5474,0.0,2103
