tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num
16,1742830303.381937,21,6,len4,57,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,31,0.0004699230194091797,5474,1.0
2687,1742830303.382017,3564,6,len4,"58,59,60",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,32,7.987022399902344e-05,5474,0.0
20,1742830303.400221,21,6,len4,77,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,39,0.0002682209014892578,5474,1.0
2691,1742830303.4002712,3298,6,len4,"78,79,80",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,40,4.982948303222656e-05,5474,0.0
2703,1742830303.549479,694,6,len4,119,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,64,0.0002338886260986328,5474,0.0
37,1742830303.634042,572,6,len4,130,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,73,0.016791105270385742,5474,1.0
2708,1742830303.634347,413,6,len4,131,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,74,0.00030493736267089844,5474,0.0
39,1742830304.0368881,552,6,len4,136,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,77,0.381220817565918,5474,1.0
2711,1742830304.089793,598,6,len4,140,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,80,0.0002448558807373047,5474,0.0
2714,1742830304.14361,695,6,len4,149,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,86,0.0002110004425048828,5474,0.0
50,1742830304.2717302,466,6,len4,169,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,99,0.014652013778686525,5474,1.0
2721,1742830304.27198,289,6,len4,170,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,100,0.00025010108947753906,5474,0.0
51,1742830304.2833529,164,6,len4,171,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,101,0.011373043060302734,5474,1.0
2731,1742830304.9859061,196,6,len4,200,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,120,6.29425048828125e-05,5474,0.0
73,1742830305.13412,151,6,len4,242,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,145,0.00919508934020996,5474,1.0
81,1742830305.209019,170,6,len4,258,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,161,0.007475852966308594,5474,1.0
2755,1742830305.234565,107,6,len4,265,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,168,8.106231689453125e-05,5474,0.0
2756,1742830305.2428448,181,6,len4,267,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,170,8.606910705566406e-05,5474,0.0
