tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num
1,1742830303.101665,607,6,len4,1,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1,0.0,5474,1.0
2672,1742830303.101918,1316,6,len4,2,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2,0.0002529621124267578,5474,0.0
2,1742830303.102362,21,6,len4,3,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3,0.0004439353942871094,5474,1.0
2673,1742830303.102421,2016,6,len4,"4,5",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4,5.91278076171875e-05,5474,0.0
2674,1742830303.119251,705,6,len4,8,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,6,0.0001990795135498047,5474,0.0
4,1742830303.135752,557,6,len4,9,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,7,0.01650094985961914,5474,1.0
2675,1742830303.136032,1840,6,len4,"10,11",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,8,0.00028014183044433594,5474,0.0
5,1742830303.152279,976,6,len4,13,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,9,0.016246795654296875,5474,1.0
2676,1742830303.152466,761,6,len4,14,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,10,0.00018715858459472656,5474,0.0
6,1742830303.17009,1818,6,len4,"16,17",10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,11,0.0176239013671875,5474,1.0
2677,1742830303.1705241,948,6,len4,19,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,12,0.00043392181396484375,5474,0.0
7,1742830303.1908221,617,6,len4,21,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,13,0.020298004150390625,5474,1.0
2678,1742830303.191019,4201,6,len4,"22,23,24",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,14,0.0001971721649169922,5474,0.0
2679,1742830303.2111142,2094,6,len4,"27,28",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,16,0.0003418922424316406,5474,0.0
9,1742830303.221977,1340,6,len4,30,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,17,0.010863065719604492,5474,1.0
2680,1742830303.2224061,1962,6,len4,"31,32",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,18,0.0004289150238037109,5474,0.0
10,1742830303.245825,533,6,len4,34,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,19,0.02341914176940918,5474,1.0
