anomaly_packet_idx,window_idx,window_score,global_percentile_approx,window_pkt_idx,rank_within_this_anomaly_packet
53,52,-965.424072265625,91.44295302013423,52 53 54 55 56,1
53,50,-965.42431640625,82.0469798657718,50 51 52 53 54,2
53,53,-965.4246215820312,61.07382550335571,53 54 55 56 57,3
53,51,-965.4246215820312,61.07382550335571,51 52 53 54 55,4
53,49,-965.4246215820312,61.07382550335571,49 50 51 52 53,5
259,257,-965.4240112304688,93.45637583892618,257 258 259 260 261,1
259,255,-965.4246215820312,61.07382550335571,255 256 257 258 259,2
259,259,-965.4249267578125,49.832214765100666,259 260 261 262 263,3
259,256,-965.42578125,25.838926174496645,256 257 258 259 260,4
259,258,-965.4260864257812,20.80536912751678,258 259 260 261 262,5
262,261,-965.4241943359375,87.41610738255034,261 262 263 264 265,1
262,259,-965.4249267578125,49.832214765100666,259 260 261 262 263,2
262,258,-965.4260864257812,20.80536912751678,258 259 260 261 262,3
262,262,-965.4263916015625,14.429530201342283,262 263 264 265 266,4
262,260,-965.4263916015625,14.429530201342283,260 261 262 263 264,5
390,390,-965.424072265625,91.44295302013423,390 391 392 393 394,1
390,389,-965.424072265625,91.44295302013423,389 390 391 392 393,2
390,388,-965.424072265625,91.44295302013423,388 389 390 391 392,3
390,387,-965.424072265625,91.44295302013423,387 388 389 390 391,4
390,386,-965.425048828125,42.4496644295302,386 387 388 389 390,5
461,457,-965.4234619140625,99.66442953020133,457 458 459 460 461,1
461,458,-965.4241943359375,87.41610738255034,458 459 460 461 462,2
461,459,-965.4249267578125,49.832214765100666,459 460 461 462 463,3
461,461,-965.42578125,25.838926174496645,461 462 463 464 465,4
461,460,-965.4262084960938,17.449664429530202,460 461 462 463 464,5
515,515,-965.4238891601562,94.46308724832215,515 516 517 518 519,1
515,513,-965.42431640625,82.0469798657718,513 514 515 516 517,2
515,511,-965.4248046875,52.68456375838926,511 512 513 514 515,3
515,512,-965.4263916015625,14.429530201342283,512 513 514 515 516,4
515,514,-965.426513671875,8.557046979865772,514 515 516 517 518,5
